"ticker";"idorden";"nada";"fondo";"accion";"porcentaje";"mes";"ano";"id";"ultimo";"previo";"repercusion";"diahora"
"GEST.MC";31;"Estimado";"SMALLCAPS";"GESTAMP AUTOMOCION, EUR 3.162 2,55 904 1,02";1.55;"Diciembre";2023;228;2.475;2.475;0;2024-09-11 12:54:50
"GEST.MC";NA;"";"BOLSAESPANA";"GESTAMP AUTOMOCION, EUR 246 0,58 -- --";0.58;"Diciembre";2023;228;2.475;2.475;0;2024-09-11 12:54:50
"GET.PA";31;"";"SECTORINMOBILIARIO";"GETLINK EUR 180 1,04 -- --";1.54;"Diciembre";2023;229;16.235;16.12;1.09863523573199;2024-09-11 12:54:50
"GILD";NA;"";"BOLSAUSA";"GILEAD SCIENCES USD 477 0,39 -- --";0.39;"Diciembre";2023;230;80.6;81.44;-0.402259332023577;2024-09-11 12:54:50
"GILD";31;"";"SANIDAD";"GILEAD SCIENCES USD 8.739 2,07 5.656 1,39";2.33;"Diciembre";2023;230;80.6;81.44;-2.40324165029471;2024-09-11 12:54:50
"GLE.PA";31;"";"FINANCIERO";"SOCIETE GENERALE SA EUR 65 0,79 60 0,70";1.56;"Diciembre";2023;231;21.79;21.805;-0.107314836046782;2024-09-11 12:54:50
"GLNG";NA;"";"SECTORINMOBILIARIO";"GOLAR LNG USD 121 0,90 157 0,93";0.9;"Diciembre";2023;232;31.265;31.02;0.710831721470022;2024-09-11 12:54:50
"GM";31;"";"BOLSAUSA";"GENERAL MOTORS USD 392 0,57 273 0,45";1.43;"Diciembre";2023;233;44.28;44.82;-1.72289156626506;2024-09-11 12:54:50
"GN.CO";31;"";"SANIDAD";"GN STORE NORD DKK 8.296 1,58 -- --";0.57;"Diciembre";2023;234;160.55;158.5;0.737223974763411;2024-09-11 12:54:50
"GOOG";31;"";"BOLSAINTERNACIONAL";"ALPHABET INC USD 1.552 3,28 1.238 3,11";3.41;"Agosto";2024;235;151.68;150.01;3.79621358576099;2024-09-11 12:54:50
"GOOG";31;"";"TECNOLOGICO";"ALPHABET INC USD 16.992 5,54 13.551 4,69";8.94;"Agosto";2024;235;151.68;150.01;9.95253649756692;2024-09-11 12:54:50
"GOOG";31;"";"MEGATRENDS";"ALPHABET INC USD 6.437 1,97 5.234 2,05";2.43;"Junio";2023;235;151.68;150.01;2.70521965202322;2024-09-11 12:54:50
"GOOG";31;"";"GLOBAL";"ALPHABET INC USD 11.150 2,86 8.892 2,56";3.21;"Agosto";2024;235;151.68;150.01;3.5735617625492;2024-09-11 12:54:50
"GOOG";31;"";"BOLSAUSA";"ALPHABET INC USD 2.265 7,12 2.095 7,09";6.15;"Agosto";2024;235;151.68;150.01;6.84654356376248;2024-09-11 12:54:50
"GRE.MC";NA;"";"BOLSAESPANA";"GRENERGY RENOVABLES EUR 137 0,32 113 0,26";0.32;"Diciembre";2023;236;34.1;33;1.06666666666667;2024-09-11 12:54:50
"GRF.MC";15;"Estimado";"BOLSAESPANA";"GRIFOLS SA EUR 2.200 3,70 1.040 1,56";2.92;"Abril";2024;237;9.808;9.228;18.3528391850889;2024-09-11 12:54:50
"GRF.MC";31;"";"SANIDAD";"GRIFOLS SA EUR 10.590 2,51 11.325 2,78";1.96;"Diciembre";2023;237;9.808;9.228;12.3190290420459;2024-09-11 12:54:50
"GS";31;"";"FINANCIERO";"GOLDMAN SACHS USD 167 2,12 130 2,01";3.2;"Julio";2023;238;468.61;467.13;1.01385053411257;2024-09-11 12:54:50
"GS";15;"Estimado";"BOLSAUSA";"GOLDMAN SACHS USD 1.324 1,93 1.025 1,68";1.67;"Abril";2024;238;468.61;467.13;0.529103247489999;2024-09-11 12:54:50
"GSK.L";NA;"";"SANIDAD";"GSK PLC GBP 5.531 1,03 5.552 0,90";1.18;"Diciembre";2023;239;1654.5;1671;-1.16517055655296;2024-09-11 12:54:50
"GUI.DE";NA;"";"GLOBAL";"DIAGEO GBP 4.342 0,88 -- --";0.88;"Diciembre";2023;240;28.985;28.9;0.258823529411767;2024-09-11 12:54:50
"GXI.DE";16;"Estimado";"SMALLCAPS";"GERRESHEIMER AG EUR 4.477 2,71 3.760 2,51";1.22;"Diciembre";2023;241;103.6;103.9;-0.352261790182881;2024-09-11 12:54:50
"HAG.F";15;"Estimado";"SMALLCAPS";"HENSOLDT EUR 1.220 0,99 -- --";1.79;"Marzo";2024;242;29.96;30.14;-1.06901128069011;2024-09-11 12:54:50
"HCA";31;"";"SANIDAD";"HCA HEALTHCARE USD 5.138 1,22 4.308 1,06";0.75;"Diciembre";2023;243;388.64;386.43;0.428926325595835;2024-09-11 12:54:50
"HD";NA;"";"BOLSAUSA";"THE HOME DEPOT INC USD 1.789 1,48 570 0,48";1.48;"Diciembre";2023;244;369.05;370.87;-0.726292231779327;2024-09-11 12:54:50
