Fecha;Fondo;Ticker;accion;porcentaje;Modif_porc;Peso_absoluto;Precio;banco;cnmv
2024-09-11 12:58:10.596168;BOLSAEUROPA;HEI.DE;HEIDELBERG MAT EUR 86 0,11 -- --;0.11;0.0022055580061754367;0.00024261138067929803;90.88;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;AAPL;APPLE INCORPORATED USD 4.165 6,18 4.344 7,12;5.38;0.00557448548453035;0.029990731906773285;221.337;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;MSFT;MICROSOFT USD 1.828 3,86 1.532 3,85;5.01;0.011757605021728644;0.0589056011588605;419.07;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;GOOG;ALPHABET INC USD 1.552 3,28 1.238 3,11;3.41;0.01083261115925605;0.036939204053063134;151.635;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;NVDA;NVIDIA CORP USD 683 1,01 -- --;3.2;0.054116558741905726;0.17317298797409833;113.95;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;AMZN;AMAZON.COM USD 1.318 2,78 666 1,67;2.81;0.010192147034252207;0.0286399331662487;181.38;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;JPM;JPM CHASE USD 779 1,15 406 0,66;2.62;-0.0001945903872348319;-0.0005098268145552596;205.52;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;META;META PLATFORMS USD 3.215 3,00 4.733 5,55;2.34;0.006240218704807895;0.014602111769250473;507.94;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;CS.PA;AXA SA EUR 602 0,76 -- --;2.27;0.009725400457665798;0.022076659038901363;35.3;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;INGA.AS;ING GROEP NV EUR 1.320 1,66 -- --;2.04;0.004002501563477066;0.008165103189493214;16.054;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;ASML.AS;ASM LITHOGRAPHY HOLD EUR 1.368 1,38 -- --;1.87;0.0380669144981413;0.07118513011152423;698.1;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;LOR.F;LOREAL EUR 1.350 1,36 -- --;1.87;-0.01280000000000003;-0.023936000000000058;370.2;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;DTE.DE;DEUTSCHE TELEKOM AG EUR 547 0,81 477 0,78;1.74;0.005744925315970974;0.009996170049789494;26.26;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;MA;MASTERCARD INC USD 205 3,18 -- --;1.74;-0.006434162534322336;-0.011195442809720865;484.88;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;MC.PA;LOUIS VUITTON EUR 568 0,84 511 0,84;1.74;-0.0088177661659046;-0.015342913128674005;607.0;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;NDA-DK.CO;NORDEA BANK SEK 2.065 1,00 -- --;1.74;-0.009763617677286807;-0.016988694758479046;77.08;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;NESN.SW;NESTLE CHF 1.000 1,48 390 0,64;1.74;-0.006115515288788132;-0.010640996602491348;87.76;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;NOTA.F;NOVARTIS CHF 292 0,43 309 0,51;1.74;0.0;0.0;103.5;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;V;VISA INC USD 2.204 2,51 2.097 2,35;1.74;-0.01370295086563387;-0.023843134506202936;281.43;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;PRU.L;PRUDENTIAL GBP 543 0,81 -- --;1.49;0.019620884602594063;0.029235118057865155;613.2;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;IBE.MC;IBERDROLA EUR 4.599 2,23 742 0,75;1.47;0.0014992503748125618;0.0022038980509744657;13.36;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;ADBE;ADOBE USD 945 1,19 938 1,24;1.36;-0.0017494081604233313;-0.0023791950981757307;573.475;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;AVGO;BROADCOM USD 3.539 1,29 -- --;1.29;0.04662303488293635;0.06014371499898789;155.12;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;LLY;LILLY USD 3.432 1,25 1.290 0,59;1.25;0.019495145631068016;0.02436893203883502;918.82;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;JNJ;JOHNSON_JOHNSON USD 3.408 1,24 1.517 0,70;1.24;-0.011261799498147873;-0.013964631377703363;165.495;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;UNH;UNITEDHEALTH GROUP USD 888 1,32 -- --;1.22;-0.01637647530173772;-0.019979299868120016;589.22;IBERCAJA;NOSE
2024-09-11 12:58:10.596168;BOLSAINTERNACIONAL;DIS;WALT DISNEY CO USD 1.673 1,90 1.430 1,60;1.19;-0.004875565610859859;-0.005801923076923232;87.969;IBERCAJA;NOSE
