"fondo";"ticker";"porcentaje"
"BOLSAEUROPA";"ENEL.MI";1.35
"DIVIDENDO";"ENL.DE";1.54
"SMALLCAPS";"ENO.MC";1.41
"NEWENERGY";"ENPH";1.55
"DIVIDENDO";"EOAN.DE";2.35
"BOLSAINTERNACIONAL";"EON.BD";0.61
"SECTORINMOBILIARIO";"EON.BD";2.17
"SECTORINMOBILIARIO";"EQIX";2.21
"SMALLCAPS";"ESF.VI";1.79
"SMALLCAPS";"EVD.SG";1.43
"GLOBAL";"EW";1.71
"SANIDAD";"EW";2.48
"MEGATRENDS";"EW";2.69
"BOLSAUSA";"EXC";0.13
"SECTORINMOBILIARIO";"EXR";2.21
"SECTORINMOBILIARIO";"FER.MC";2.21
"BOLSAESPANA";"FER.MC";4.74
"SECTORINMOBILIARIO";"FERG.L";1.53
"SECTORINMOBILIARIO";"FGR.PA";2.21
"SMALLCAPS";"FLOW.AS";1.4
"SMALLCAPS";"FORT.L";1.51
"BOLSAEUROPA";"FP.VI";2.29
"DIVIDENDO";"FP.VI";2.59
"BOLSAINTERNACIONAL";"FP.VI";1.12
"SECTORINMOBILIARIO";"FRA.DE";1.03
"NEWENERGY";"FSLR";4.42
"MEGATRENDS";"FSLR";2.43
"SMALLCAPS";"FTK.DE";1.88
"FINANCIERO";"G.MI";1.77
"DIVIDENDO";"G.MI";1.28
"DIVIDENDO";"G14.MU";2
"BOLSAEUROPA";"GALP.LS";1.59
"BOLSAESPANA";"GCO.MC";3.14
"FINANCIERO";"GCO.MC";2.85
"SMALLCAPS";"GCO.MC";2.12
"BOLSAUSA";"GE";0.33
"BOLSAINTERNACIONAL";"GE";0.51
"TECNOLOGICO";"GEN";2.4
"MEGATRENDS";"GEN";2.43
"SMALLCAPS";"GEST.MC";1.55
"BOLSAESPANA";"GEST.MC";0.58
"SECTORINMOBILIARIO";"GET.PA";1.54
"BOLSAUSA";"GILD";0.39
"SANIDAD";"GILD";2.33
"FINANCIERO";"GLE.PA";1.56
"SECTORINMOBILIARIO";"GLNG";0.9
"BOLSAUSA";"GM";1.43
"SANIDAD";"GN.CO";0.57
"BOLSAINTERNACIONAL";"GOOG";3.41
"TECNOLOGICO";"GOOG";8.94
"MEGATRENDS";"GOOG";2.43
"GLOBAL";"GOOG";3.21
"BOLSAUSA";"GOOG";6.15
"BOLSAESPANA";"GRE.MC";0.32
"BOLSAESPANA";"GRF.MC";2.92
"SANIDAD";"GRF.MC";1.96
"FINANCIERO";"GS";3.2
"BOLSAUSA";"GS";1.67
"SANIDAD";"GSK.L";1.18
"GLOBAL";"GUI.DE";0.88
"SMALLCAPS";"GXI.DE";1.22
"SMALLCAPS";"HAG.F";1.79
"SANIDAD";"HCA";0.75
"BOLSAUSA";"HD";1.48
"BOLSAINTERNACIONAL";"HD";1.03
"BESTIDEAS";"HD";1.603467139
